Technology,Scenario,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Utility PV - Class 6,Advanced,"$1,483","$1,611","$1,534","$1,456","$1,379","$1,302","$1,224","$1,147","$1,070",$992,$915,$838,$760,$683,$675,$667,$659,$651,$643,$635,$627,$619,$611,$603,$595,$587,$579,$571,$563
Utility PV - Class 6,Moderate,"$1,483","$1,611","$1,551","$1,492","$1,432","$1,372","$1,313","$1,253","$1,193","$1,134","$1,074","$1,015",$955,$895,$881,$867,$853,$839,$825,$810,$796,$782,$768,$754,$740,$725,$711,$697,$683
Utility PV - Class 6,Conservative,"$1,483","$1,611","$1,576","$1,541","$1,505","$1,470","$1,435","$1,400","$1,365","$1,330","$1,295","$1,260","$1,224","$1,189","$1,170","$1,150","$1,130","$1,111","$1,091","$1,072","$1,052","$1,032","$1,013",$993,$974,$954,$935,$915,$895
Utility PV - Class 7,Advanced,"$1,483","$1,611","$1,534","$1,456","$1,379","$1,302","$1,224","$1,147","$1,070",$992,$915,$838,$760,$683,$675,$667,$659,$651,$643,$635,$627,$619,$611,$603,$595,$587,$579,$571,$563
Utility PV - Class 7,Moderate,"$1,483","$1,611","$1,551","$1,492","$1,432","$1,372","$1,313","$1,253","$1,193","$1,134","$1,074","$1,015",$955,$895,$881,$867,$853,$839,$825,$810,$796,$782,$768,$754,$740,$725,$711,$697,$683
Utility PV - Class 7,Conservative,"$1,483","$1,611","$1,576","$1,541","$1,505","$1,470","$1,435","$1,400","$1,365","$1,330","$1,295","$1,260","$1,224","$1,189","$1,170","$1,150","$1,130","$1,111","$1,091","$1,072","$1,052","$1,032","$1,013",$993,$974,$954,$935,$915,$895
Utility PV - Class 8,Advanced,"$1,483","$1,611","$1,534","$1,456","$1,379","$1,302","$1,224","$1,147","$1,070",$992,$915,$838,$760,$683,$675,$667,$659,$651,$643,$635,$627,$619,$611,$603,$595,$587,$579,$571,$563
Utility PV - Class 8,Moderate,"$1,483","$1,611","$1,551","$1,492","$1,432","$1,372","$1,313","$1,253","$1,193","$1,134","$1,074","$1,015",$955,$895,$881,$867,$853,$839,$825,$810,$796,$782,$768,$754,$740,$725,$711,$697,$683
Utility PV - Class 8,Conservative,"$1,483","$1,611","$1,576","$1,541","$1,505","$1,470","$1,435","$1,400","$1,365","$1,330","$1,295","$1,260","$1,224","$1,189","$1,170","$1,150","$1,130","$1,111","$1,091","$1,072","$1,052","$1,032","$1,013",$993,$974,$954,$935,$915,$895
Utility PV - Class 9,Advanced,"$1,483","$1,611","$1,534","$1,456","$1,379","$1,302","$1,224","$1,147","$1,070",$992,$915,$838,$760,$683,$675,$667,$659,$651,$643,$635,$627,$619,$611,$603,$595,$587,$579,$571,$563
Utility PV - Class 9,Moderate,"$1,483","$1,611","$1,551","$1,492","$1,432","$1,372","$1,313","$1,253","$1,193","$1,134","$1,074","$1,015",$955,$895,$881,$867,$853,$839,$825,$810,$796,$782,$768,$754,$740,$725,$711,$697,$683
Utility PV - Class 9,Conservative,"$1,483","$1,611","$1,576","$1,541","$1,505","$1,470","$1,435","$1,400","$1,365","$1,330","$1,295","$1,260","$1,224","$1,189","$1,170","$1,150","$1,130","$1,111","$1,091","$1,072","$1,052","$1,032","$1,013",$993,$974,$954,$935,$915,$895
Utility PV - Class 10,Advanced,"$1,483","$1,611","$1,534","$1,456","$1,379","$1,302","$1,224","$1,147","$1,070",$992,$915,$838,$760,$683,$675,$667,$659,$651,$643,$635,$627,$619,$611,$603,$595,$587,$579,$571,$563
Utility PV - Class 10,Moderate,"$1,483","$1,611","$1,551","$1,492","$1,432","$1,372","$1,313","$1,253","$1,193","$1,134","$1,074","$1,015",$955,$895,$881,$867,$853,$839,$825,$810,$796,$782,$768,$754,$740,$725,$711,$697,$683
Utility PV - Class 10,Conservative,"$1,483","$1,611","$1,576","$1,541","$1,505","$1,470","$1,435","$1,400","$1,365","$1,330","$1,295","$1,260","$1,224","$1,189","$1,170","$1,150","$1,130","$1,111","$1,091","$1,072","$1,052","$1,032","$1,013",$993,$974,$954,$935,$915,$895
Commercial PV - Class 1,Advanced,"$2,058","$1,845","$1,769","$1,693","$1,616","$1,540","$1,464","$1,387","$1,311","$1,235","$1,158","$1,082","$1,006",$929,$919,$909,$898,$888,$877,$867,$857,$846,$836,$826,$815,$805,$795,$784,$774
Commercial PV - Class 1,Moderate,"$2,058","$1,845","$1,795","$1,744","$1,694","$1,643","$1,593","$1,542","$1,492","$1,441","$1,391","$1,340","$1,290","$1,239","$1,219","$1,198","$1,177","$1,157","$1,136","$1,115","$1,095","$1,074","$1,053","$1,033","$1,012",$991,$971,$950,$929
Commercial PV - Class 1,Conservative,"$2,058","$1,845","$1,832","$1,818","$1,805","$1,791","$1,778","$1,764","$1,751","$1,737","$1,724","$1,710","$1,697","$1,683","$1,654","$1,624","$1,594","$1,565","$1,535","$1,506","$1,476","$1,446","$1,417","$1,387","$1,358","$1,328","$1,299","$1,269","$1,239"
Commercial PV - Class 2,Advanced,"$2,058","$1,845","$1,769","$1,693","$1,616","$1,540","$1,464","$1,387","$1,311","$1,235","$1,158","$1,082","$1,006",$929,$919,$909,$898,$888,$877,$867,$857,$846,$836,$826,$815,$805,$795,$784,$774
Commercial PV - Class 2,Moderate,"$2,058","$1,845","$1,795","$1,744","$1,694","$1,643","$1,593","$1,542","$1,492","$1,441","$1,391","$1,340","$1,290","$1,239","$1,219","$1,198","$1,177","$1,157","$1,136","$1,115","$1,095","$1,074","$1,053","$1,033","$1,012",$991,$971,$950,$929
Commercial PV - Class 2,Conservative,"$2,058","$1,845","$1,832","$1,818","$1,805","$1,791","$1,778","$1,764","$1,751","$1,737","$1,724","$1,710","$1,697","$1,683","$1,654","$1,624","$1,594","$1,565","$1,535","$1,506","$1,476","$1,446","$1,417","$1,387","$1,358","$1,328","$1,299","$1,269","$1,239"
Commercial PV - Class 3,Advanced,"$2,058","$1,845","$1,769","$1,693","$1,616","$1,540","$1,464","$1,387","$1,311","$1,235","$1,158","$1,082","$1,006",$929,$919,$909,$898,$888,$877,$867,$857,$846,$836,$826,$815,$805,$795,$784,$774
Commercial PV - Class 3,Moderate,"$2,058","$1,845","$1,795","$1,744","$1,694","$1,643","$1,593","$1,542","$1,492","$1,441","$1,391","$1,340","$1,290","$1,239","$1,219","$1,198","$1,177","$1,157","$1,136","$1,115","$1,095","$1,074","$1,053","$1,033","$1,012",$991,$971,$950,$929
Commercial PV - Class 3,Conservative,"$2,058","$1,845","$1,832","$1,818","$1,805","$1,791","$1,778","$1,764","$1,751","$1,737","$1,724","$1,710","$1,697","$1,683","$1,654","$1,624","$1,594","$1,565","$1,535","$1,506","$1,476","$1,446","$1,417","$1,387","$1,358","$1,328","$1,299","$1,269","$1,239"
Commercial PV - Class 4,Advanced,"$2,058","$1,845","$1,769","$1,693","$1,616","$1,540","$1,464","$1,387","$1,311","$1,235","$1,158","$1,082","$1,006",$929,$919,$909,$898,$888,$877,$867,$857,$846,$836,$826,$815,$805,$795,$784,$774
Commercial PV - Class 4,Moderate,"$2,058","$1,845","$1,795","$1,744","$1,694","$1,643","$1,593","$1,542","$1,492","$1,441","$1,391","$1,340","$1,290","$1,239","$1,219","$1,198","$1,177","$1,157","$1,136","$1,115","$1,095","$1,074","$1,053","$1,033","$1,012",$991,$971,$950,$929
Commercial PV - Class 4,Conservative,"$2,058","$1,845","$1,832","$1,818","$1,805","$1,791","$1,778","$1,764","$1,751","$1,737","$1,724","$1,710","$1,697","$1,683","$1,654","$1,624","$1,594","$1,565","$1,535","$1,506","$1,476","$1,446","$1,417","$1,387","$1,358","$1,328","$1,299","$1,269","$1,239"
Commercial PV - Class 5,Advanced,"$2,058","$1,845","$1,769","$1,693","$1,616","$1,540","$1,464","$1,387","$1,311","$1,235","$1,158","$1,082","$1,006",$929,$919,$909,$898,$888,$877,$867,$857,$846,$836,$826,$815,$805,$795,$784,$774
Commercial PV - Class 5,Moderate,"$2,058","$1,845","$1,795","$1,744","$1,694","$1,643","$1,593","$1,542","$1,492","$1,441","$1,391","$1,340","$1,290","$1,239","$1,219","$1,198","$1,177","$1,157","$1,136","$1,115","$1,095","$1,074","$1,053","$1,033","$1,012",$991,$971,$950,$929
Commercial PV - Class 5,Conservative,"$2,058","$1,845","$1,832","$1,818","$1,805","$1,791","$1,778","$1,764","$1,751","$1,737","$1,724","$1,710","$1,697","$1,683","$1,654","$1,624","$1,594","$1,565","$1,535","$1,506","$1,476","$1,446","$1,417","$1,387","$1,358","$1,328","$1,299","$1,269","$1,239"
Commercial PV - Class 6,Advanced,"$2,058","$1,845","$1,769","$1,693","$1,616","$1,540","$1,464","$1,387","$1,311","$1,235","$1,158","$1,082","$1,006",$929,$919,$909,$898,$888,$877,$867,$857,$846,$836,$826,$815,$805,$795,$784,$774
Commercial PV - Class 6,Moderate,"$2,058","$1,845","$1,795","$1,744","$1,694","$1,643","$1,593","$1,542","$1,492","$1,441","$1,391","$1,340","$1,290","$1,239","$1,219","$1,198","$1,177","$1,157","$1,136","$1,115","$1,095","$1,074","$1,053","$1,033","$1,012",$991,$971,$950,$929
Commercial PV - Class 6,Conservative,"$2,058","$1,845","$1,832","$1,818","$1,805","$1,791","$1,778","$1,764","$1,751","$1,737","$1,724","$1,710","$1,697","$1,683","$1,654","$1,624","$1,594","$1,565","$1,535","$1,506","$1,476","$1,446","$1,417","$1,387","$1,358","$1,328","$1,299","$1,269","$1,239"
Commercial PV - Class 7,Advanced,"$2,058","$1,845","$1,769","$1,693","$1,616","$1,540","$1,464","$1,387","$1,311","$1,235","$1,158","$1,082","$1,006",$929,$919,$909,$898,$888,$877,$867,$857,$846,$836,$826,$815,$805,$795,$784,$774
Commercial PV - Class 7,Moderate,"$2,058","$1,845","$1,795","$1,744","$1,694","$1,643","$1,593","$1,542","$1,492","$1,441","$1,391","$1,340","$1,290","$1,239","$1,219","$1,198","$1,177","$1,157","$1,136","$1,115","$1,095","$1,074","$1,053","$1,033","$1,012",$991,$971,$950,$929
Commercial PV - Class 7,Conservative,"$2,058","$1,845","$1,832","$1,818","$1,805","$1,791","$1,778","$1,764","$1,751","$1,737","$1,724","$1,710","$1,697","$1,683","$1,654","$1,624","$1,594","$1,565","$1,535","$1,506","$1,476","$1,446","$1,417","$1,387","$1,358","$1,328","$1,299","$1,269","$1,239"
Commercial PV - Class 8,Advanced,"$2,058","$1,845","$1,769","$1,693","$1,616","$1,540","$1,464","$1,387","$1,311","$1,235","$1,158","$1,082","$1,006",$929,$919,$909,$898,$888,$877,$867,$857,$846,$836,$826,$815,$805,$795,$784,$774
Commercial PV - Class 8,Moderate,"$2,058","$1,845","$1,795","$1,744","$1,694","$1,643","$1,593","$1,542","$1,492","$1,441","$1,391","$1,340","$1,290","$1,239","$1,219","$1,198","$1,177","$1,157","$1,136","$1,115","$1,095","$1,074","$1,053","$1,033","$1,012",$991,$971,$950,$929
Commercial PV - Class 8,Conservative,"$2,058","$1,845","$1,832","$1,818","$1,805","$1,791","$1,778","$1,764","$1,751","$1,737","$1,724","$1,710","$1,697","$1,683","$1,654","$1,624","$1,594","$1,565","$1,535","$1,506","$1,476","$1,446","$1,417","$1,387","$1,358","$1,328","$1,299","$1,269","$1,239"
Commercial PV - Class 9,Advanced,"$2,058","$1,845","$1,769","$1,693","$1,616","$1,540","$1,464","$1,387","$1,311","$1,235","$1,158","$1,082","$1,006",$929,$919,$909,$898,$888,$877,$867,$857,$846,$836,$826,$815,$805,$795,$784,$774
Commercial PV - Class 9,Moderate,"$2,058","$1,845","$1,795","$1,744","$1,694","$1,643","$1,593","$1,542","$1,492","$1,441","$1,391","$1,340","$1,290","$1,239","$1,219","$1,198","$1,177","$1,157","$1,136","$1,115","$1,095","$1,074","$1,053","$1,033","$1,012",$991,$971,$950,$929
Commercial PV - Class 9,Conservative,"$2,058","$1,845","$1,832","$1,818","$1,805","$1,791","$1,778","$1,764","$1,751","$1,737","$1,724","$1,710","$1,697","$1,683","$1,654","$1,624","$1,594","$1,565","$1,535","$1,506","$1,476","$1,446","$1,417","$1,387","$1,358","$1,328","$1,299","$1,269","$1,239"
Commercial PV - Class 10,Advanced,"$2,058","$1,845","$1,769","$1,693","$1,616","$1,540","$1,464","$1,387","$1,311","$1,235","$1,158","$1,082","$1,006",$929,$919,$909,$898,$888,$877,$867,$857,$846,$836,$826,$815,$805,$795,$784,$774
Commercial PV - Class 10,Moderate,"$2,058","$1,845","$1,795","$1,744","$1,694","$1,643","$1,593","$1,542","$1,492","$1,441","$1,391","$1,340","$1,290","$1,239","$1,219","$1,198","$1,177","$1,157","$1,136","$1,115","$1,095","$1,074","$1,053","$1,033","$1,012",$991,$971,$950,$929
Commercial PV - Class 10,Conservative,"$2,058","$1,845","$1,832","$1,818","$1,805","$1,791","$1,778","$1,764","$1,751","$1,737","$1,724","$1,710","$1,697","$1,683","$1,654","$1,624","$1,594","$1,565","$1,535","$1,506","$1,476","$1,446","$1,417","$1,387","$1,358","$1,328","$1,299","$1,269","$1,239"
Residential PV - Class 1,Advanced,"$3,183","$2,682","$2,559","$2,436","$2,314","$2,191","$2,068","$1,945","$1,822","$1,699","$1,577","$1,454","$1,331","$1,208","$1,190","$1,173","$1,155","$1,137","$1,119","$1,102","$1,084","$1,066","$1,049","$1,031","$1,013",$995,$978,$960,$942
Residential PV - Class 1,Moderate,"$3,183","$2,682","$2,601","$2,519","$2,437","$2,356","$2,274","$2,193","$2,111","$2,029","$1,948","$1,866","$1,784","$1,703","$1,670","$1,637","$1,604","$1,571","$1,538","$1,505","$1,472","$1,439","$1,406","$1,373","$1,340","$1,307","$1,274","$1,241","$1,208"
Residential PV - Class 1,Conservative,"$3,183","$2,682","$2,659","$2,636","$2,613","$2,590","$2,567","$2,544","$2,521","$2,498","$2,475","$2,452","$2,429","$2,407","$2,360","$2,313","$2,266","$2,219","$2,172","$2,125","$2,078","$2,031","$1,984","$1,937","$1,891","$1,844","$1,797","$1,750","$1,703"
Residential PV - Class 2,Advanced,"$3,183","$2,682","$2,559","$2,436","$2,314","$2,191","$2,068","$1,945","$1,822","$1,699","$1,577","$1,454","$1,331","$1,208","$1,190","$1,173","$1,155","$1,137","$1,119","$1,102","$1,084","$1,066","$1,049","$1,031","$1,013",$995,$978,$960,$942
Residential PV - Class 2,Moderate,"$3,183","$2,682","$2,601","$2,519","$2,437","$2,356","$2,274","$2,193","$2,111","$2,029","$1,948","$1,866","$1,784","$1,703","$1,670","$1,637","$1,604","$1,571","$1,538","$1,505","$1,472","$1,439","$1,406","$1,373","$1,340","$1,307","$1,274","$1,241","$1,208"
Residential PV - Class 2,Conservative,"$3,183","$2,682","$2,659","$2,636","$2,613","$2,590","$2,567","$2,544","$2,521","$2,498","$2,475","$2,452","$2,429","$2,407","$2,360","$2,313","$2,266","$2,219","$2,172","$2,125","$2,078","$2,031","$1,984","$1,937","$1,891","$1,844","$1,797","$1,750","$1,703"
Residential PV - Class 3,Advanced,"$3,183","$2,682","$2,559","$2,436","$2,314","$2,191","$2,068","$1,945","$1,822","$1,699","$1,577","$1,454","$1,331","$1,208","$1,190","$1,173","$1,155","$1,137","$1,119","$1,102","$1,084","$1,066","$1,049","$1,031","$1,013",$995,$978,$960,$942
Residential PV - Class 3,Moderate,"$3,183","$2,682","$2,601","$2,519","$2,437","$2,356","$2,274","$2,193","$2,111","$2,029","$1,948","$1,866","$1,784","$1,703","$1,670","$1,637","$1,604","$1,571","$1,538","$1,505","$1,472","$1,439","$1,406","$1,373","$1,340","$1,307","$1,274","$1,241","$1,208"
Residential PV - Class 3,Conservative,"$3,183","$2,682","$2,659","$2,636","$2,613","$2,590","$2,567","$2,544","$2,521","$2,498","$2,475","$2,452","$2,429","$2,407","$2,360","$2,313","$2,266","$2,219","$2,172","$2,125","$2,078","$2,031","$1,984","$1,937","$1,891","$1,844","$1,797","$1,750","$1,703"
Residential PV - Class 4,Advanced,"$3,183","$2,682","$2,559","$2,436","$2,314","$2,191","$2,068","$1,945","$1,822","$1,699","$1,577","$1,454","$1,331","$1,208","$1,190","$1,173","$1,155","$1,137","$1,119","$1,102","$1,084","$1,066","$1,049","$1,031","$1,013",$995,$978,$960,$942
Residential PV - Class 4,Moderate,"$3,183","$2,682","$2,601","$2,519","$2,437","$2,356","$2,274","$2,193","$2,111","$2,029","$1,948","$1,866","$1,784","$1,703","$1,670","$1,637","$1,604","$1,571","$1,538","$1,505","$1,472","$1,439","$1,406","$1,373","$1,340","$1,307","$1,274","$1,241","$1,208"
Residential PV - Class 4,Conservative,"$3,183","$2,682","$2,659","$2,636","$2,613","$2,590","$2,567","$2,544","$2,521","$2,498","$2,475","$2,452","$2,429","$2,407","$2,360","$2,313","$2,266","$2,219","$2,172","$2,125","$2,078","$2,031","$1,984","$1,937","$1,891","$1,844","$1,797","$1,750","$1,703"
Residential PV - Class 5,Advanced,"$3,183","$2,682","$2,559","$2,436","$2,314","$2,191","$2,068","$1,945","$1,822","$1,699","$1,577","$1,454","$1,331","$1,208","$1,190","$1,173","$1,155","$1,137","$1,119","$1,102","$1,084","$1,066","$1,049","$1,031","$1,013",$995,$978,$960,$942
Residential PV - Class 5,Moderate,"$3,183","$2,682","$2,601","$2,519","$2,437","$2,356","$2,274","$2,193","$2,111","$2,029","$1,948","$1,866","$1,784","$1,703","$1,670","$1,637","$1,604","$1,571","$1,538","$1,505","$1,472","$1,439","$1,406","$1,373","$1,340","$1,307","$1,274","$1,241","$1,208"
Residential PV - Class 5,Conservative,"$3,183","$2,682","$2,659","$2,636","$2,613","$2,590","$2,567","$2,544","$2,521","$2,498","$2,475","$2,452","$2,429","$2,407","$2,360","$2,313","$2,266","$2,219","$2,172","$2,125","$2,078","$2,031","$1,984","$1,937","$1,891","$1,844","$1,797","$1,750","$1,703"
Residential PV - Class 6,Advanced,"$3,183","$2,682","$2,559","$2,436","$2,314","$2,191","$2,068","$1,945","$1,822","$1,699","$1,577","$1,454","$1,331","$1,208","$1,190","$1,173","$1,155","$1,137","$1,119","$1,102","$1,084","$1,066","$1,049","$1,031","$1,013",$995,$978,$960,$942
Residential PV - Class 6,Moderate,"$3,183","$2,682","$2,601","$2,519","$2,437","$2,356","$2,274","$2,193","$2,111","$2,029","$1,948","$1,866","$1,784","$1,703","$1,670","$1,637","$1,604","$1,571","$1,538","$1,505","$1,472","$1,439","$1,406","$1,373","$1,340","$1,307","$1,274","$1,241","$1,208"
Residential PV - Class 6,Conservative,"$3,183","$2,682","$2,659","$2,636","$2,613","$2,590","$2,567","$2,544","$2,521","$2,498","$2,475","$2,452","$2,429","$2,407","$2,360","$2,313","$2,266","$2,219","$2,172","$2,125","$2,078","$2,031","$1,984","$1,937","$1,891","$1,844","$1,797","$1,750","$1,703"
Residential PV - Class 7,Advanced,"$3,183","$2,682","$2,559","$2,436","$2,314","$2,191","$2,068","$1,945","$1,822","$1,699","$1,577","$1,454","$1,331","$1,208","$1,190","$1,173","$1,155","$1,137","$1,119","$1,102","$1,084","$1,066","$1,049","$1,031","$1,013",$995,$978,$960,$942
Residential PV - Class 7,Moderate,"$3,183","$2,682","$2,601","$2,519","$2,437","$2,356","$2,274","$2,193","$2,111","$2,029","$1,948","$1,866","$1,784","$1,703","$1,670","$1,637","$1,604","$1,571","$1,538","$1,505","$1,472","$1,439","$1,406","$1,373","$1,340","$1,307","$1,274","$1,241","$1,208"
Residential PV - Class 7,Conservative,"$3,183","$2,682","$2,659","$2,636","$2,613","$2,590","$2,567","$2,544","$2,521","$2,498","$2,475","$2,452","$2,429","$2,407","$2,360","$2,313","$2,266","$2,219","$2,172","$2,125","$2,078","$2,031","$1,984","$1,937","$1,891","$1,844","$1,797","$1,750","$1,703"
Residential PV - Class 8,Advanced,"$3,183","$2,682","$2,559","$2,436","$2,314","$2,191","$2,068","$1,945","$1,822","$1,699","$1,577","$1,454","$1,331","$1,208","$1,190","$1,173","$1,155","$1,137","$1,119","$1,102","$1,084","$1,066","$1,049","$1,031","$1,013",$995,$978,$960,$942
Residential PV - Class 8,Moderate,"$3,183","$2,682","$2,601","$2,519","$2,437","$2,356","$2,274","$2,193","$2,111","$2,029","$1,948","$1,866","$1,784","$1,703","$1,670","$1,637","$1,604","$1,571","$1,538","$1,505","$1,472","$1,439","$1,406","$1,373","$1,340","$1,307","$1,274","$1,241","$1,208"
Residential PV - Class 8,Conservative,"$3,183","$2,682","$2,659","$2,636","$2,613","$2,590","$2,567","$2,544","$2,521","$2,498","$2,475","$2,452","$2,429","$2,407","$2,360","$2,313","$2,266","$2,219","$2,172","$2,125","$2,078","$2,031","$1,984","$1,937","$1,891","$1,844","$1,797","$1,750","$1,703"
Residential PV - Class 9,Advanced,"$3,183","$2,682","$2,559","$2,436","$2,314","$2,191","$2,068","$1,945","$1,822","$1,699","$1,577","$1,454","$1,331","$1,208","$1,190","$1,173","$1,155","$1,137","$1,119","$1,102","$1,084","$1,066","$1,049","$1,031","$1,013",$995,$978,$960,$942
Residential PV - Class 9,Moderate,"$3,183","$2,682","$2,601","$2,519","$2,437","$2,356","$2,274","$2,193","$2,111","$2,029","$1,948","$1,866","$1,784","$1,703","$1,670","$1,637","$1,604","$1,571","$1,538","$1,505","$1,472","$1,439","$1,406","$1,373","$1,340","$1,307","$1,274","$1,241","$1,208"
Residential PV - Class 9,Conservative,"$3,183","$2,682","$2,659","$2,636","$2,613","$2,590","$2,567","$2,544","$2,521","$2,498","$2,475","$2,452","$2,429","$2,407","$2,360","$2,313","$2,266","$2,219","$2,172","$2,125","$2,078","$2,031","$1,984","$1,937","$1,891","$1,844","$1,797","$1,750","$1,703"
Residential PV - Class 10,Advanced,"$3,183","$2,682","$2,559","$2,436","$2,314","$2,191","$2,068","$1,945","$1,822","$1,699","$1,577","$1,454","$1,331","$1,208","$1,190","$1,173","$1,155","$1,137","$1,119","$1,102","$1,084","$1,066","$1,049","$1,031","$1,013",$995,$978,$960,$942
Residential PV - Class 10,Moderate,"$3,183","$2,682","$2,601","$2,519","$2,437","$2,356","$2,274","$2,193","$2,111","$2,029","$1,948","$1,866","$1,784","$1,703","$1,670","$1,637","$1,604","$1,571","$1,538","$1,505","$1,472","$1,439","$1,406","$1,373","$1,340","$1,307","$1,274","$1,241","$1,208"
Residential PV - Class 10,Conservative,"$3,183","$2,682","$2,659","$2,636","$2,613","$2,590","$2,567","$2,544","$2,521","$2,498","$2,475","$2,452","$2,429","$2,407","$2,360","$2,313","$2,266","$2,219","$2,172","$2,125","$2,078","$2,031","$1,984","$1,937","$1,891","$1,844","$1,797","$1,750","$1,703"
Geothermal - Hydro / Flash,Advanced,"$7,213","$7,011","$6,821","$6,640","$6,469","$6,307","$6,152","$6,005","$5,864","$5,729","$5,599","$5,475","$5,356","$5,241","$5,215","$5,190","$5,165","$5,140","$5,115","$5,090","$5,065","$5,040","$5,016","$4,991","$4,967","$4,943","$4,919","$4,895","$4,871"
Geothermal - Hydro / Flash,Moderate,"$7,213","$7,097","$6,989","$6,890","$6,798","$6,712","$6,631","$6,554","$6,482","$6,414","$6,349","$6,287","$6,228","$6,172","$6,142","$6,112","$6,082","$6,052","$6,023","$5,993","$5,964","$5,935","$5,906","$5,877","$5,849","$5,820","$5,792","$5,763","$5,735"
Geothermal - Hydro / Flash,Conservative,"$7,213","$7,178","$7,143","$7,108","$7,073","$7,039","$7,004","$6,970","$6,936","$6,902","$6,868","$6,834","$6,801","$6,768","$6,735","$6,702","$6,669","$6,636","$6,604","$6,572","$6,540","$6,508","$6,476","$6,444","$6,413","$6,381","$6,350","$6,319","$6,288"
Geothermal - Hydro / Binary,Advanced,"$9,573","$9,223","$8,901","$8,603","$8,326","$8,068","$7,826","$7,599","$7,386","$7,184","$6,992","$6,811","$6,639","$6,474","$6,443","$6,411","$6,380","$6,348","$6,317","$6,286","$6,256","$6,225","$6,195","$6,164","$6,134","$6,104","$6,074","$6,045","$6,015"
Geothermal - Hydro / Binary,Moderate,"$9,573","$9,362","$9,175","$9,006","$8,853","$8,713","$8,583","$8,464","$8,352","$8,247","$8,149","$8,056","$7,969","$7,886","$7,847","$7,808","$7,770","$7,732","$7,694","$7,656","$7,619","$7,581","$7,544","$7,507","$7,470","$7,434","$7,397","$7,361","$7,325"
Geothermal - Hydro / Binary,Conservative,"$9,573","$9,526","$9,479","$9,432","$9,386","$9,340","$9,294","$9,248","$9,203","$9,157","$9,112","$9,067","$9,023","$8,978","$8,934","$8,890","$8,847","$8,803","$8,760","$8,717","$8,674","$8,631","$8,589","$8,547","$8,505","$8,463","$8,421","$8,380","$8,339"
Geothermal - NF EGS / Flash,Advanced,"$9,633","$8,812","$8,142","$7,581","$7,103","$6,690","$6,329","$6,009","$5,723","$5,466","$5,233","$5,020","$4,825","$4,646","$4,623","$4,601","$4,578","$4,556","$4,534","$4,512","$4,490","$4,468","$4,447","$4,425","$4,404","$4,382","$4,361","$4,340","$4,319"
Geothermal - NF EGS / Flash,Moderate,"$9,633","$9,367","$9,126","$8,904","$8,701","$8,512","$8,336","$8,171","$8,016","$7,870","$7,732","$7,601","$7,476","$7,357","$7,321","$7,285","$7,249","$7,214","$7,178","$7,143","$7,108","$7,073","$7,039","$7,004","$6,970","$6,936","$6,902","$6,868","$6,834"
Geothermal - NF EGS / Flash,Conservative,"$9,633","$9,586","$9,539","$9,492","$9,445","$9,399","$9,352","$9,306","$9,260","$9,215","$9,170","$9,124","$9,079","$9,035","$8,990","$8,946","$8,902","$8,858","$8,815","$8,771","$8,728","$8,685","$8,643","$8,600","$8,558","$8,516","$8,474","$8,432","$8,391"
Geothermal - NF EGS / Binary,Advanced,"$13,415","$12,161","$11,157","$10,331","$9,637","$9,042","$8,526","$8,073","$7,670","$7,310","$6,985","$6,690","$6,420","$6,173","$6,142","$6,112","$6,083","$6,053","$6,023","$5,994","$5,964","$5,935","$5,906","$5,877","$5,849","$5,820","$5,792","$5,763","$5,735"
Geothermal - NF EGS / Binary,Moderate,"$13,415","$12,868","$12,397","$11,986","$11,621","$11,293","$10,996","$10,724","$10,475","$10,243","$10,028","$9,827","$9,638","$9,459","$9,413","$9,366","$9,320","$9,274","$9,229","$9,183","$9,138","$9,093","$9,048","$9,004","$8,959","$8,915","$8,871","$8,828","$8,784"
Geothermal - NF EGS / Binary,Conservative,"$13,415","$13,349","$13,283","$13,217","$13,151","$13,086","$13,022","$12,957","$12,893","$12,830","$12,766","$12,703","$12,640","$12,578","$12,516","$12,454","$12,392","$12,331","$12,270","$12,209","$12,149","$12,089","$12,029","$11,970","$11,911","$11,852","$11,793","$11,735","$11,677"
Geothermal - Deep EGS / Flash,Advanced,"$11,223","$9,623","$8,494","$7,644","$6,976","$6,433","$5,982","$5,599","$5,269","$4,980","$4,726","$4,498","$4,294","$4,109","$4,090","$4,070","$4,050","$4,031","$4,011","$3,992","$3,972","$3,953","$3,934","$3,915","$3,896","$3,877","$3,859","$3,840","$3,821"
Geothermal - Deep EGS / Flash,Moderate,"$11,223","$10,466","$9,883","$9,412","$9,019","$8,683","$8,389","$8,130","$7,898","$7,687","$7,495","$7,319","$7,156","$7,004","$6,970","$6,936","$6,902","$6,868","$6,834","$6,801","$6,767","$6,734","$6,701","$6,668","$6,636","$6,603","$6,571","$6,539","$6,507"
Geothermal - Deep EGS / Flash,Conservative,"$11,223","$11,167","$11,112","$11,057","$11,003","$10,949","$10,895","$10,841","$10,787","$10,734","$10,681","$10,629","$10,576","$10,524","$10,472","$10,420","$10,369","$10,318","$10,267","$10,216","$10,166","$10,116","$10,066","$10,017","$9,967","$9,918","$9,869","$9,821","$9,772"
