TechName,*TechDesc,Comm-IN,Comm-OUT,START,EFF,EFF~2030,EFF~2050,CEFF,CEFF~2030,CEFF~2050,*Share-O~UP,*Share~UP~2050,Life,INVCOST,INVCOST~2030,INVCOST~2050,FIXOM,AFA,FLO_MARK~2030,FLO_MARK~2050,FLO_MARK~0
C_OFFC-MPS_-ELC,Office Blocks Motive power Stationary ELC,COMELC,C_OFFC-MPS,2020,0.86,0.9,0.92,,,,,,10,217.4419,,,0,0.447543,,,
C_OFFC-MPS_-H2R,Office Blocks Motive power Stationary H2R,COMH2R,C_OFFC-MPS,2020,0.5,0.6,0.65,,,,,,10,876,832.2,815.556,2,0.447543,,,
C_OFFC-SC_AIRHP-ELC,Office Blocks Heat Pump Air Source (for Cooling) ELC,COMELC,C_OFFC-SC,2020,3.5,4,4.5,,,,,,10,490.8571,466.3143,456.988,0,0.223772,,,
C_OFFC-SC_GHP-ELC,Office Blocks Heat Pump Ground Source (for Cooling) ELC,COMELC,C_OFFC-SC,2020,3.5,4,4.5,,,,,,10,1071.429,1017.857,997.5,0,0.223772,,,
\I:,,,,2020,,,,,,,,,,,,,,,,,
C_WSR-OTH_ELEC-ELC,WSR Electronics ELC,COMELC,C_WSR-OTH,2020,0.9,0.95,0.96,,,,,,4,5555.556,,,0,0.483,,,
C_WSR-CK_Elements-ELC,WSR Cooking Elements ELC,COMELC,C_WSR-CK,2020,0.74,,,,,,,,15,421.6216,,,0,0.483,,,
C_WSR-CK_Induction-ELC,WSR Cooking Induction ELC,COMELC,C_WSR-CK,2020,0.84,,,,,,,,15,660.7143,,,0,0.483,,,
C_WSR-CK_Elements-NGA,WSR Cooking Elements NGA,COMNGA,C_WSR-CK,2020,0.4,,,,,,,,15,825,,,0,0.483,,,
C_WSR-CK_Elements-LPG,WSR Cooking Elements LPG,COMLPG,C_WSR-CK,2020,0.4,,,,,,,,15,825,,,0,0.483,,,
C_WSR-CK_Elements-H2R,WSR Cooking Elements H2R,COMH2R,C_WSR-CK,2020,0.4,,,,,,,,15,825,,,0,0.483,,,
C_WSR-CK_Ovens-ELC,WSR Cooking Ovens ELC,COMELC,C_WSR-CK,2020,0.65,,,,,,,,20,1884.615,,,0,0.483,,,
C_WSR-CK_Ovens-LPG,WSR Cooking Ovens LPG,COMLPG,C_WSR-CK,2020,0.3,,,,,,,,20,2746.667,,,0,0.483,,,
C_WSR-CK_Ovens-NGA,WSR Cooking Ovens NGA,COMNGA,C_WSR-CK,2020,0.3,,,,,,,,20,2746.667,,,0,0.483,,,
C_WSR-CK_Ovens-H2R,WSR Cooking Ovens H2R,COMH2R,C_WSR-CK,2020,0.3,,,,,,,,20,2746.667,,,0,0.483,,,
C_WSR-LT_INC-ELC,WSR Lighting Incandescent ELC,COMELC,C_WSR-LT,2020,0.015,,,,,,,,1,1466.667,,,0,0.483,,,
C_WSR-LT_FLU-ELC,WSR Lighting Fluorescent ELC,COMELC,C_WSR-LT,2020,0.135,,,,,,,,5,2466.667,,,0,0.483,,,
C_WSR-LT_LED-ELC,WSR Lighting LED ELC,COMELC,C_WSR-LT,2020,0.25,0.28,0.29,,,,,,20,4000,,,0,0.483,,,
C_WSR-SH_Boiler-COA,WSR Boiler Systems COA,COMCOA,C_WSR-SH,2020,0.75,,,,,,,,25,1066.667,,,15,0.1,0,0,3
C_WSR-SH_Boiler-DSL,WSR Boiler Systems DSL,COMDSL,C_WSR-SH,2020,0.85,,,,,,,,25,447.0588,,,3,0.1,0,0,3
C_WSR-SH_Boiler-FOL,WSR Boiler Systems FOL,COMFOL,C_WSR-SH,2020,0.84,,,,,,,,25,452.381,,,3,0.1,0,0,3
C_WSR-SH_Boiler-LPG,WSR Boiler Systems LPG,COMLPG,C_WSR-SH,2020,0.85,,,,,,,,25,294.1176,,,2,0.1,0.0075,0.0075,3
C_WSR-SH_Boiler-NGA,WSR Boiler Systems NGA,COMNGA,C_WSR-SH,2020,0.85,,,,,,,,25,294.1176,,,2,0.1,0.1596,0.1596,3
C_WSR-SH_Boiler-WOD,WSR Boiler Systems WOD,COMWOD,C_WSR-SH,2020,0.85,,,,,,,,30,1058.824,,,10,0.1,0.05,0.1,3
C_WSR-SH_Boiler-PLT,WSR Boiler Systems PLT,COMPLT,C_WSR-SH,2020,0.92,,,,,,,,30,978.2609,,,10,0.1,0.05,0.1,3
C_WSR-SH_Boiler-ELC,WSR Boiler Systems ELC,COMELC,C_WSR-SH,2020,0.99,,,,,,,,30,252.5253,,,2,0.1,0.1,0.3,3
C_WSR-SH_Boiler-BIG,WSR Boiler Systems BIG,COMBIG,C_WSR-SH,2020,0.85,,,,,,,,25,294.1176,,,2,0.1,0,0,3
C_WSR-SH_Boiler-H2R,WSR Boiler Systems H2R,COMH2R,C_WSR-SH,2020,0.75,,,,,,,,25,366.6667,,,2,0.1,0,0,3
C_WSR-WH_Boiler-COA,WSR Boiler Systems COA,COMCOA,C_WSR-WH,2020,0.75,,,,,,,,25,1066.667,,,15,0.483,0,0,3
C_WSR-WH_Boiler-DSL,WSR Boiler Systems DSL,COMDSL,C_WSR-WH,2020,0.85,,,,,,,,25,447.0588,,,3,0.483,0,0,3
C_WSR-WH_Boiler-FOL,WSR Boiler Systems FOL,COMFOL,C_WSR-WH,2020,0.84,,,,,,,,25,452.381,,,3,0.483,0,0,3
C_WSR-WH_Boiler-LPG,WSR Boiler Systems LPG,COMLPG,C_WSR-WH,2020,0.85,,,,,,,,25,294.1176,,,2,0.483,0,0,3
C_WSR-WH_Boiler-NGA,WSR Boiler Systems NGA,COMNGA,C_WSR-WH,2020,0.85,,,,,,,,25,294.1176,,,2,0.483,0,0,3
C_WSR-WH_Boiler-WOD,WSR Boiler Systems WOD,COMWOD,C_WSR-WH,2020,0.85,,,,,,,,30,1058.824,,,10,0.483,0.02,0.05,3
C_WSR-WH_Boiler-PLT,WSR Boiler Systems PLT,COMPLT,C_WSR-WH,2020,0.92,,,,,,,,30,978.2609,,,10,0.483,0.02,0.05,3
C_WSR-WH_Boiler-ELC,WSR Boiler Systems ELC,COMELC,C_WSR-WH,2020,0.99,,,,,,,,30,252.5253,,,2,0.483,0.1,0.3,3
C_WSR-WH_Boiler-BIG,WSR Boiler Systems BIG,COMBIG,C_WSR-WH,2020,0.85,,,,,,,,25,294.1176,,,2,0.483,0,0,3
C_WSR-WH_Boiler-H2R,WSR Boiler Systems H2R,COMH2R,C_WSR-WH,2020,0.75,,,,,,,,25,366.6667,,,2,0.483,0,0,3
C_WSR-SH_DirectH-GEO,WSR Direct Heat GEO,COMGEO,C_WSR-SH,2020,1,,,,,,,,10,391.25,,,0,0.36225,0.0431,0.0431,3
C_WSR-SH_AirHP-ELC,WSR Heat Pump Air Source (for Heating) ELC,COMELC,C_WSR-SH,2020,,,,3.5,4,4.5,1,,20,490.8571,466.3143,456.988,0,0.1,0.7,1,3
\I:,,,C_WSR-SC,,,,,3,3.5,4,1,,,,,,,,,,
C_WSR-SH_GHP-ELC,WSR Heat Pump Ground Source (for Heating) ELC,COMELC,C_WSR-SH,2020,,,,3.5,4,4.5,1,,20,1846,1753.7,1718.626,0,0.1,0.7,1,3
\I:,,,C_WSR-SC,,,,,3,3.5,4,1,,,,,,,,,,
C_WSR-SH_RH-ELC,WSR Resistance Heater ELC,COMELC,C_WSR-SH,2020,0.99,,,,,,,,10,80.80808,,,0,0.1,0.5,0.3,3
C_WSR-WH_AirHP-ELC,WSR Heat Pump Air Source (for Heating) ELC,COMELC,C_WSR-WH,2020,2.5,3.5,4,,,,,,20,1500,1425,1396.5,0,0.483,0.7,1,3
C_WSR-WH_GHP-ELC,WSR Heat Pump Ground Source (for Heating) ELC,COMELC,C_WSR-WH,2020,2.5,3.5,4,,,,,,20,1846,1753.7,1718.626,0,0.483,0.7,1,3
C_WSR-WH_Cylinder-ELC,WSR Hot Water Cylinder ELC,COMELC,C_WSR-WH,2020,0.85,,,,,,,,15,842.3529,,,0,0.483,0.7144,0.7144,3
C_WSR-WH_Cylinder-NGA,WSR Hot Water Cylinder NGA,COMNGA,C_WSR-WH,2020,0.65,,,,,,,,15,49.23077,,,0,0.483,0.2814,0.2814,3
C_WSR-WH_Cylinder-LPG,WSR Hot Water Cylinder LPG,COMLPG,C_WSR-WH,2020,0.65,,,,,,,,15,49.23077,,,0,0.483,0.1,0.1,3
C_WSR-WH_INSTANT-NGA,WSR Instant NGA,COMNGA,C_WSR-WH,2020,0.85,,,,,,,,25,294.1176,,,2,0.483,0.2,0.2,3
C_WSR-WH_INSTANT-LPG,WSR Instant LPG,COMLPG,C_WSR-WH,2020,0.85,,,,,,,,25,294.1176,,,2,0.483,0.05,0.05,3
C_WSR-WH_INSTANT-ELC,WSR Instant ELC,COMELC,C_WSR-WH,2020,0.99,,,,,,,,30,252.5253,,,2,0.483,0.1,0.1,3
C_WSR-MPM_-DSL,WSR Motive power - mobile DSL,COMDSL,C_WSR-MPM,2020,0.16,,,,,,,,20,929,,,7,0.483,0.8663,0.8663,3
C_WSR-MPM_-PET,WSR Motive power - mobile PET,COMPET,C_WSR-MPM,2020,0.14,,,,,,,,20,900,,,7,0.483,0.0787,0.0787,3
C_WSR-MPM_-LPG,WSR Motive power - mobile LPG,COMLPG,C_WSR-MPM,2020,0.14,,,,,,,,20,900,,,7,0.483,0.055,0.055,3
C_WSR-MPM_-ELC,WSR Motive power - mobile ELC,COMELC,C_WSR-MPM,2020,0.99,,,,,,,,10,188.8889,,,0,0.483,1,1,3
C_WSR-MPM_-H2R,WSR Motive power - mobile H2R,COMH2R,C_WSR-MPM,2020,0.5,0.6,0.65,,,,,,10,876,832.2,815.556,2,0.483,0.1,0.3,3
C_WSR-MPS_-DSL,WSR Motive power Stationary DSL,COMDSL,C_WSR-MPS,2020,0.16,,,,,,,,20,937.5,,,5,0.483,,,
C_WSR-MPS_-PET,WSR Motive power Stationary PET,COMPET,C_WSR-MPS,2020,0.14,,,,,,,,20,1071.429,,,5,0.483,,,
C_WSR-MPS_-LPG,WSR Motive power Stationary LPG,COMLPG,C_WSR-MPS,2020,0.14,,,,,,,,20,1071.429,,,5,0.483,,,
C_WSR-MPS_-ELC,WSR Motive power Stationary ELC,COMELC,C_WSR-MPS,2020,0.86,0.9,0.92,,,,,,10,217.4419,,,0,0.483,,,
C_WSR-MPS_-H2R,WSR Motive power Stationary H2R,COMH2R,C_WSR-MPS,2020,0.5,0.6,0.65,,,,,,10,876,832.2,815.556,2,0.483,,,
C_WSR-RF_Refriger-ELC,WSR Refrigeration Systems ELC,COMELC,C_WSR-RF,2020,1.8,,,,,,,,8,4166.667,,,5,0.483,,,
C_WSR-SC_AIRHP-ELC,WSR Heat Pump Air Source (for Cooling) ELC,COMELC,C_WSR-SC,2020,3.5,4,4.5,,,,,,10,490.8571,466.3143,456.988,0,0.2415,,,
C_WSR-SC_GHP-ELC,WSR Heat Pump Ground Source (for Cooling) ELC,COMELC,C_WSR-SC,2020,3.5,4,4.5,,,,,,10,1071.429,1017.857,997.5,0,0.2415,,,
\I:,,,,2020,,,,,,,,,,,,,,,,,
C_OTH-OTH_Elec-ELC,Other Electronics ELC,COMELC,C_OTH-OTH,2020,0.9,0.95,0.96,,,,,,4,5555.556,,,0,0.549133,,,
C_OTH-LT_INC-ELC,Other Lighting Incandescent ELC,COMELC,C_OTH-LT,2020,0.015,,,,,,,,1,1466.667,,,0,0.549133,,,
C_OTH-LT_FLU-ELC,Other Lighting Fluorescent ELC,COMELC,C_OTH-LT,2020,0.135,,,,,,,,5,2466.667,,,0,0.549133,,,
C_OTH-LT_LED-ELC,Other Lighting LED ELC,COMELC,C_OTH-LT,2020,0.25,0.28,0.29,,,,,,20,4000,,,0,0.549133,,,
C_OTH-SH_Boiler-COA,Other Boiler Systems COA,COMCOA,C_OTH-SH,2020,0.75,,,,,,,,25,1066.667,,,15,0.1,1,0,3
C_OTH-SH_Boiler-DSL,Other Boiler Systems DSL,COMDSL,C_OTH-SH,2020,0.85,,,,,,,,25,447.0588,,,3,0.1,0.0997,0,3
C_OTH-SH_Boiler-FOL,Other Boiler Systems FOL,COMFOL,C_OTH-SH,2020,0.84,,,,,,,,25,452.381,,,3,0.1,0.0035,0,3
C_OTH-SH_Boiler-LPG,Other Boiler Systems LPG,COMLPG,C_OTH-SH,2020,0.85,,,,,,,,25,294.1176,,,2,0.1,0,0,3
C_OTH-SH_Boiler-NGA,Other Boiler Systems NGA,COMNGA,C_OTH-SH,2020,0.85,,,,,,,,25,294.1176,,,2,0.1,0.4118,0.3,3
C_OTH-SH_Boiler-WOD,Other Boiler Systems WOD,COMWOD,C_OTH-SH,2020,0.85,,,,,,,,30,1058.824,,,10,0.1,0.1,0.3,3
C_OTH-SH_Boiler-PLT,Other Boiler Systems PLT,COMPLT,C_OTH-SH,2020,0.92,,,,,,,,30,978.2609,,,10,0.1,0.1,0.3,3
C_OTH-SH_Boiler-ELC,Other Boiler Systems ELC,COMELC,C_OTH-SH,2020,0.99,,,,,,,,30,252.5253,,,2,0.1,0.1,0.3,3
C_OTH-SH_Boiler-BIG,Other Boiler Systems BIG,COMBIG,C_OTH-SH,2020,0.85,,,,,,,,25,294.1176,,,2,0.1,0,0,3
C_OTH-SH_Boiler-H2R,Other Boiler Systems H2R,COMH2R,C_OTH-SH,2020,0.75,,,,,,,,25,366.6667,,,2,0.1,0.03,0,3
C_OTH-WH_Boiler-COA,Other Boiler Systems COA,COMCOA,C_OTH-WH,2020,0.75,,,,,,,,25,1066.667,,,15,0.549133,0.0088,0,3
C_OTH-WH_Boiler-DSL,Other Boiler Systems DSL,COMDSL,C_OTH-WH,2020,0.85,,,,,,,,25,447.0588,,,3,0.549133,0,0,3
C_OTH-WH_Boiler-FOL,Other Boiler Systems FOL,COMFOL,C_OTH-WH,2020,0.84,,,,,,,,25,452.381,,,3,0.549133,0.0005,0,3
C_OTH-WH_Boiler-LPG,Other Boiler Systems LPG,COMLPG,C_OTH-WH,2020,0.85,,,,,,,,25,294.1176,,,2,0.549133,0,0,3
C_OTH-WH_Boiler-NGA,Other Boiler Systems NGA,COMNGA,C_OTH-WH,2020,0.85,,,,,,,,25,294.1176,,,2,0.549133,0.3,0.2,3
C_OTH-WH_Boiler-WOD,Other Boiler Systems WOD,COMWOD,C_OTH-WH,2020,0.85,,,,,,,,30,1058.824,,,10,0.549133,0.1,0.3,3
C_OTH-WH_Boiler-PLT,Other Boiler Systems PLT,COMPLT,C_OTH-WH,2020,0.92,,,,,,,,30,978.2609,,,10,0.549133,0.1,0.3,3
C_OTH-WH_Boiler-ELC,Other Boiler Systems ELC,COMELC,C_OTH-WH,2020,0.99,,,,,,,,30,252.5253,,,2,0.549133,0.2,0.3,3
C_OTH-WH_Boiler-BIG,Other Boiler Systems BIG,COMBIG,C_OTH-WH,2020,0.85,,,,,,,,25,294.1176,,,2,0.549133,0,0,3
C_OTH-WH_Boiler-H2R,Other Boiler Systems H2R,COMH2R,C_OTH-WH,2020,0.75,,,,,,,,25,366.6667,,,2,0.549133,0.03,0,3
C_OTH-WH_DirectH-GEO,Other Direct Heat GEO,COMGEO,C_OTH-WH,2020,1,,,,,,,,10,100,,,0,0.549133,0.65,0.4,3
C_OTH-SH_AirHP-ELC,Other Heat Pump Air Source (for Heating) ELC,COMELC,C_OTH-SH,2020,,,,3.5,4,4.5,1,,20,490.8571,466.3143,456.988,0,0.1,0.7,1,3
\I:,,,C_OTH-SC,,,,,3,3.5,4,1,,,,,,,,,,
C_OTH-SH_GHP-ELC,Other Heat Pump Ground Source (for Heating) ELC,COMELC,C_OTH-SH,2020,,,,3.5,4,4.5,1,,20,1846,1753.7,1718.626,0,0.1,0.7,1,3
\I:,,,C_OTH-SC,,,,,3,3.5,4,1,,,,,,,,,,
C_OTH-SH_RH-ELC,Other Resistance Heater ELC,COMELC,C_OTH-SH,2020,0.99,,,,,,,,10,80.80808,,,0,0.1,0.4,0.35,3
C_OTH-WH_AirHP-ELC,Other Heat Pump Air Source (for Heating) ELC,COMELC,C_OTH-WH,2020,2.5,3.5,4,,,,,,20,1500,1425,1396.5,0,0.549133,0.7,1,3
C_OTH-WH_GHP-ELC,Other Heat Pump Ground Source (for Heating) ELC,COMELC,C_OTH-WH,2020,2.5,3.5,4,,,,,,20,1846,1753.7,1718.626,0,0.549133,0.7,1,3
C_OTH-WH_Cylinder-ELC,Other Hot Water Cylinder ELC,COMELC,C_OTH-WH,2020,0.9,,,,,,,,15,727.7778,,,0,0.549133,0.4,0.4,3
C_OTH-WH_Cylinder-NGA,Other Hot Water Cylinder NGA,COMNGA,C_OTH-WH,2020,0.6,,,,,,,,15,526.6667,,,0,0.549133,0.0222,0.0222,3
C_OTH-WH_Cylinder-LPG,Other Hot Water Cylinder LPG,COMLPG,C_OTH-WH,2020,0.6,,,,,,,,15,526.6667,,,0,0.549133,0,0,3
C_OTH-WH_Instant-NGA,Other Instant NGA,COMNGA,C_OTH-WH,2020,0.65,,,,,,,,15,49.23077,,,0,0.549133,0.02,0.02,3
C_OTH-WH_Instant-LPG,Other Instant LPG,COMLPG,C_OTH-WH,2020,0.65,,,,,,,,15,49.23077,,,0,0.549133,0.02,0.02,3
C_OTH-WH_Instant-ELC,Other Instant ELC,COMELC,C_OTH-WH,2020,0.85,,,,,,,,15,842.3529,,,0,0.549133,0.02,0.02,3
C_OTH-MPM_-DSL,Other Motive power - mobile DSL,COMDSL,C_OTH-MPM,2020,0.16,,,,,,,,20,929,,,7,0.1,0.7295,0.7295,3
C_OTH-MPM_-PET,Other Motive power - mobile PET,COMPET,C_OTH-MPM,2020,0.14,,,,,,,,20,900,,,7,0.1,0.1929,0.1929,3
C_OTH-MPM_-LPG,Other Motive power - mobile LPG,COMLPG,C_OTH-MPM,2020,0.14,,,,,,,,20,900,,,7,0.1,,,
C_OTH-MPM_-FOL,Other Motive power - mobile FOL,COMFOL,C_OTH-MPM,2020,0.15,,,,,,,,20,9000,,,5,0.1,,,
C_OTH-MPM_-ELC,Other Motive power - mobile ELC,COMELC,C_OTH-MPM,2020,0.99,,,,,,,,10,188.8889,,,0,0.1,,,
C_OTH-MPM_-H2R,Other Motive power - mobile H2R,COMH2R,C_OTH-MPM,2020,0.5,0.6,0.65,,,,,,10,876,832.2,815.556,2,0.1,,,
C_OTH-MPS_-DSL,Other Motive power Stationary DSL,COMDSL,C_OTH-MPS,2020,0.16,,,,,,,,20,937.5,,,5,0.549133,,,
C_OTH-MPS_-PET,Other Motive power Stationary PET,COMPET,C_OTH-MPS,2020,0.14,,,,,,,,20,1071.429,,,5,0.549133,,,
C_OTH-MPS_-LPG,Other Motive power Stationary LPG,COMLPG,C_OTH-MPS,2020,0.14,,,,,,,,20,1071.429,,,5,0.549133,,,
C_OTH-MPS_-ELC,Other Motive power Stationary ELC,COMELC,C_OTH-MPS,2020,0.86,0.9,0.92,,,,,,10,217.4419,,,0,0.549133,,,
C_OTH-MPS_-H2R,Other Motive power Stationary H2R,COMH2R,C_OTH-MPS,2020,0.5,0.6,0.65,,,,,,10,876,832.2,815.556,2,0.549133,,,
\I:,Other Refrigeration Systems ELC,COMELC,C_OTH-RF,2020,1.8,,,,,,,,8,4166.667,,,5,0.549133,,,
C_OTH-SC_AIRHP-ELC,Other Heat Pump Air Source (for Cooling) ELC,COMELC,C_OTH-SC,2020,3.5,4,4.5,,,,,,10,490.8571,466.3143,456.988,0,0.274566,,,
C_OTH-SC_GHP-ELC,Other Heat Pump Ground Source (for Cooling) ELC,COMELC,C_OTH-SC,2020,3.5,4,4.5,,,,,,10,1071.429,1017.857,997.5,0,0.108447,,,
